,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,id
122,atmospheric post-metal,2.71e-05,0.29,348640.0,0.7170000000000001,0.816,0.706,-9.439,0.0556,110.271,0.236,38.0,9,0,122
123,atmospheric post-rock,0.00942,0.8690000000000001,308613.0,0.888,0.00111,0.186,-2.7310000000000003,0.0859,135.023,0.856,0.0,4,0,123
124,atmospheric sludge,2.71e-05,0.29,348640.0,0.7170000000000001,0.816,0.706,-9.439,0.0556,110.271,0.236,38.0,9,0,124
125,auckland indie,0.025423025,0.5397500000000001,230502.3333333333,0.7075833333333333,0.0232515833333333,0.3131666666666666,-5.453333333333334,0.0588166666666666,124.53333333333336,0.3520916666666666,53.66666666666666,0,1,125
126,audiophile vocal,0.6398333333333333,0.5125,196339.8333333333,0.2645666666666666,0.00014681,0.1298,-17.35033333333333,0.0333999999999999,84.95633333333335,0.5134333333333334,32.66666666666667,2,1,126
127,aussietronica,0.1214429166666666,0.6620208333333334,257742.1875,0.6902291666666667,0.1392821291666666,0.14111875,-6.2876666666666665,0.0504395833333333,118.77983333333331,0.3652791666666666,59.895833333333336,1,0,127
128,austin americana,0.3920443749999999,0.5716041666666667,278978.6145833334,0.6226354166666668,0.0085853929166666,0.2268812499999999,-7.121666666666666,0.0768416666666666,112.86020833333332,0.4863125,50.54166666666667,7,1,128
129,austin hip hop,0.0153,0.902,191975.0,0.472,0.0,0.0539,-6.8020000000000005,0.469,140.046,0.65,59.0,1,1,129
130,austin singer-songwriter,0.4674166666666666,0.5417916666666667,292424.11666666664,0.6380916666666666,0.0338304724166666,0.3073741666666666,-9.759225,0.0630458333333333,128.83905833333333,0.5445083333333334,40.24166666666667,9,1,130
131,austindie,0.3660685340136054,0.6155374149659865,243713.0952380952,0.5894829931972788,0.050473445255102,0.1508948979591836,-8.334173469387755,0.0596574829931972,109.3161394557823,0.5708197278911564,49.204081632653065,9,1,131
132,australian alternative pop,0.6462361111111111,0.5478333333333333,251154.4444444444,0.3082499999999999,0.0015006766666666,0.1611277777777777,-8.47225,0.0478888888888888,121.72266666666668,0.1775777777777778,65.3611111111111,5,0,132
133,australian alternative rock,0.1793293022222222,0.5555852777777778,220098.21583333335,0.7025797222222223,0.0263281084416666,0.1881256388888889,-7.934190277777778,0.0614798333333333,120.71454888888888,0.5671299999999999,44.65694444444445,4,1,133
134,australian children's music,0.601529375,0.76246875,130335.015625,0.363203125,6.390625000000001e-06,0.174746875,-13.708796875,0.1051875,123.50721875,0.8033593750000001,43.03125,7,1,134
135,australian choir,0.993,0.291,164000.0,0.0218,3.5000000000000016e-06,0.0766,-25.876,0.0528,136.83700000000002,0.291,18.0,10,1,135
136,australian country,0.3984834523809524,0.5850699404761904,210228.7681547619,0.5002395833333334,2.1311336309523805e-05,0.1201662499999999,-10.587125892857143,0.0478405357142857,108.13386755952382,0.531704761904762,45.81190476190476,2,1,136
137,australian dance,0.105524133976662,0.6100812700034685,247005.23374216503,0.7432702402148045,0.1101497410725092,0.2083079073363007,-6.443650009078829,0.0672731720032999,128.54022786602906,0.455919285793449,53.35797065053489,7,0,137
138,australian electropop,0.1561952493496841,0.5613522064288369,254342.89542920844,0.6461444397993311,0.1128237729897342,0.1536229528985507,-7.3524621980676335,0.0493463507989595,136.40836401430693,0.3957159002229653,51.96341973244148,5,0,138
139,australian garage punk,0.2073714583333333,0.4183333333333333,213760.79166666663,0.7792916666666668,0.3566950583333332,0.1704333333333333,-5.952625,0.0621916666666666,127.15258333333334,0.4213333333333333,52.79166666666666,7,1,139
